YearMade,WallType,RoofType,NumOfBedrooms,StovenFuelType,HeatingEquipmentType,HeatingEquipmentAge,NumOfRoomsHeated,FuelUsedForWaterHeating,WaterHeaterSize,AirConditioning,NumOfRoomsCooled,NumOfWindows,TotalSquareHeated,TotalSquareCooled,ElectricityConsumption,HeatingEquipmentAge_num
1998,Wood,Wood Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,4,Natural Gas,Large,True,4,41,2736,2736,5148,12
1975,Concrete,Asphalt,3,Electricity,Heat Pump,5-9 Years old,6,Electricity,Medium,True,6,20,1952,1952,22928,7
1955,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Small,True,6,41,1365,1170,7474,12
1968,Wood,Asphalt,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Large,True,7,50,1935,1456,11807,12
1958,Stucco,Composition Shingles,4,Natural Gas,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Medium,True,6,30,2768,2768,12200,17
1980,Wood,Composition Shingles,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,30,1342,1342,3222,7
1964,Siding,Composition Shingles,4,Electricity,Central Warm-Air Furnace,15-19 Years old,4,Electricity,Medium,True,4,30,971,971,19950,17
1970,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,7,Natural Gas,Medium,True,7,41,3120,3120,7435,7
1995,Brick,Unknown,3,Electricity,Central Warm-Air Furnace,10-14 Years old,7,Electricity,Large,True,7,30,1260,1260,23414,12
1970,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Medium,True,5,41,1800,1800,10143,7
2000,Brick,Unknown,4,Electricity,Central Warm-Air Furnace,2-4 Years old,7,Natural Gas,Large,True,7,30,2831,2831,12634,3
1970,Brick,Unknown,2,Electricity,Central Warm-Air Furnace,2-4 Years old,4,Natural Gas,Large,True,4,30,834,834,4369,3
1984,Siding,Metal,3,Electricity,Central Warm-Air Furnace,>20 Years old,4,Electricity,Medium,True,4,30,896,896,22070,22
1985,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Large,True,6,30,1420,1420,14517,22
1979,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,41,1564,1564,12914,7
1999,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,5,Natural Gas,Medium,True,5,30,1372,1372,7151,12
2000,Brick,Composition Shingles,4,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Small,True,7,41,1714,2400,14668,7
1960,Brick,Asphalt,4,Electricity,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Small,True,5,41,1200,1200,16186,22
1963,Brick,Metal,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Natural Gas,Medium,True,5,50,1842,1842,9728,7
1995,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Small,True,6,30,2301,1576,6842,17
2005,Brick,Composition Shingles,2,Electricity,Central Warm-Air Furnace,2-4 Years old,2,Electricity,Medium,True,2,20,847,847,20840,3
1970,Brick,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,<2 Years old,4,Electricity,Large,True,4,30,800,800,7508,1
1994,Brick,Composition Shingles,4,Electricity,Central Warm-Air Furnace,15-19 Years old,6,Electricity,Medium,True,6,30,2312,2312,18628,17
1967,Brick,Unknown,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Large,True,4,20,999,999,6727,7
1949,Brick,Asphalt,4,Natural Gas,Central Warm-Air Furnace,>20 Years old,7,Natural Gas,Small,True,7,41,1614,1614,7383,22
1972,Brick,Composition Shingles,3,Electricity,Heat Pump,5-9 Years old,7,Electricity,Large,True,7,41,1572,1572,13292,7
1960,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,6,30,2480,1328,5453,7
1995,Stucco,Wood Shingles,3,-,Central Warm-Air Furnace,5-9 Years old,7,Natural Gas,Large,True,7,41,1292,1292,4847,7
1986,Brick,Composition Shingles,3,-,Central Warm-Air Furnace,2-4 Years old,6,Electricity,Large,True,6,41,1862,1862,18563,3
1970,Wood,Asphalt,3,Electricity,Central Warm-Air Furnace,<2 Years old,5,Electricity,Medium,True,5,42,1304,1563,22836,1
1963,Siding,Asphalt,3,Natural Gas,Central Warm-Air Furnace,<2 Years old,6,Natural Gas,Medium,True,5,41,2005,1070,6719,1
2000,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,30,1232,1232,17144,7
1990,Siding,Composition Shingles,2,Electricity,Heat Pump,2-4 Years old,3,Electricity,Medium,True,3,41,940,940,13644,3
1991,Concrete,Wood Shingles,3,Electricity,Central Warm-Air Furnace,2-4 Years old,5,Electricity,Small,True,5,20,1835,1835,10114,3
1986,Stucco,Unknown,2,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Small,True,5,20,827,827,8936,22
1980,Brick,Wood Shingles,4,Electricity,Central Warm-Air Furnace,>20 Years old,8,Electricity,Large,True,8,30,1697,1697,23981,22
1972,Brick,Composition Shingles,3,-,Central Warm-Air Furnace,5-9 Years old,7,Electricity,Medium,True,7,41,1392,1392,11797,7
1940,Siding,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Small,True,5,30,1578,1578,10928,22
1982,Brick,Asphalt,4,-,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Medium,True,7,41,1880,1880,28797,12
1970,Siding,Composition Shingles,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Electricity,Large,True,4,30,840,840,28058,12
1988,Stucco,Unknown,3,Natural Gas,Central Warm-Air Furnace,<2 Years old,2,Natural Gas,Medium,True,5,20,421,1053,5649,1
2003,Siding,Composition Shingles,4,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,6,41,3561,3561,13559,7
1970,Brick,Composition Shingles,3,-,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Large,True,6,30,1344,1344,14598,22
1953,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Electricity,Medium,True,6,41,2992,2992,14943,12
1952,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,15-19 Years old,7,Natural Gas,Medium,True,7,41,1374,1374,7089,17
1980,Siding,Unknown,3,Electricity,Central Warm-Air Furnace,2-4 Years old,6,Electricity,Medium,True,6,30,1362,1362,13374,3
1960,Brick,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,2,Natural Gas,Small,True,5,50,480,1201,11481,22
1971,Siding,Composition Shingles,4,Electricity,Central Warm-Air Furnace,>20 Years old,7,Electricity,Medium,True,7,50,2071,2071,10802,22
2004,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,7,Natural Gas,Medium,True,7,30,1545,1545,13161,7
1982,Brick,Wood Shingles,4,Electricity,Central Warm-Air Furnace,2-4 Years old,7,Electricity,Medium,True,7,30,1900,1900,29395,3
2000,Brick,Asphalt,2,Electricity,Central Warm-Air Furnace,5-9 Years old,5,Electricity,Medium,True,5,20,1183,1183,16164,7
1950,Brick,Composition Shingles,2,Electricity,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Small,True,4,42,1499,1499,7060,7
1960,Siding,Asphalt,4,-,Central Warm-Air Furnace,2-4 Years old,4,Natural Gas,Small,True,4,41,989,989,4750,3
1953,Stucco,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,6,42,1966,1966,18944,7
1974,Wood,Composition Shingles,4,Electricity,Central Warm-Air Furnace,5-9 Years old,7,Natural Gas,Large,True,7,30,2042,2042,13127,7
1990,Siding,Composition Shingles,3,Electricity,Heat Pump,<2 Years old,6,Electricity,Small,True,6,41,1688,1688,20510,1
1955,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,30,1310,1310,5433,22
1954,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,5,Natural Gas,Large,True,5,41,1176,1176,11196,12
1988,Wood,Composition Shingles,4,Electricity,Central Warm-Air Furnace,2-4 Years old,8,Natural Gas,Medium,True,8,41,3502,3502,8075,3
1950,Siding,Composition Shingles,2,Electricity,Central Warm-Air Furnace,2-4 Years old,5,Electricity,Medium,True,5,30,834,834,21857,3
1986,Stucco,Asphalt,3,Electricity,Heat Pump,2-4 Years old,8,Electricity,Medium,True,8,41,2732,3132,11963,3
2002,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Large,True,7,41,3155,1433,15502,7
1978,Wood,Asphalt,3,-,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,6,41,2512,2512,13974,7
1965,Wood,Composition Shingles,3,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Medium,True,6,41,2320,2320,10317,7
1968,Siding,Composition Shingles,3,Natural Gas,Central Warm-Air Furnace,5-9 Years old,6,Natural Gas,Large,True,7,42,1666,1944,18038,7
1959,Siding,Asphalt,3,Electricity,Central Warm-Air Furnace,>20 Years old,5,Natural Gas,Medium,True,5,41,1920,1920,2501,22
1998,Wood,Composition Shingles,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Electricity,Small,True,4,30,1606,1606,12694,12
1988,Brick,Composition Shingles,3,Electricity,Heat Pump,>20 Years old,6,Electricity,Large,True,6,30,1820,1820,23075,22
2004,Siding,Composition Shingles,2,Electricity,Central Warm-Air Furnace,5-9 Years old,6,Electricity,Small,True,6,41,1680,1680,12322,7
1950,Siding,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,6,Natural Gas,Medium,True,6,41,1104,1104,10333,12
1980,Brick,Wood Shingles,4,Electricity,Central Warm-Air Furnace,>20 Years old,7,Electricity,Medium,True,7,30,3179,1802,13820,22
1980,Stucco,Asphalt,3,Electricity,Central Warm-Air Furnace,>20 Years old,5,Electricity,Large,True,5,30,2234,2234,10081,22
2001,Brick,Asphalt,3,Natural Gas,Central Warm-Air Furnace,10-14 Years old,8,Natural Gas,Medium,True,8,42,2336,2336,7549,12
1959,Siding,Asphalt,3,Natural Gas,Central Warm-Air Furnace,15-19 Years old,6,Natural Gas,Large,True,6,41,1976,1976,5614,17
1952,Siding,Composition Shingles,2,Natural Gas,Central Warm-Air Furnace,10-14 Years old,7,Natural Gas,Large,True,6,20,1976,1838,14664,12
1925,Brick,Asphalt,3,Natural Gas,Central Warm-Air Furnace,>20 Years old,6,Natural Gas,Medium,True,6,30,1139,1139,11437,22
1951,Brick,Composition Shingles,3,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Natural Gas,Small,True,4,30,689,689,7452,12
1998,Siding,Metal,2,Electricity,Central Warm-Air Furnace,10-14 Years old,3,Natural Gas,Medium,True,3,20,1080,1080,9083,12
1985,Stucco,Unknown,2,Natural Gas,Central Warm-Air Furnace,5-9 Years old,4,Natural Gas,Medium,True,4,20,932,932,4225,7
1993,Stucco,Wood Shingles,2,Electricity,Central Warm-Air Furnace,10-14 Years old,4,Electricity,Medium,True,4,30,1200,1200,18471,12
